,Country / dependency,%total,Asia areain km2 (mi2),
1,Russia,29.3%,"13,083,100 (5,051,400)",[a]
2,China,21.5%,"9,596,961 (3,705,407)",[b]
3,India,7.4%,"3,287,263 (1,269,219)",
4,Kazakhstan,5.8%,"2,600,000 (1,000,000)",[c]
5,Saudi Arabia,4.8%,"2,149,690 (830,000)",
6,Iran,3.7%,"1,648,195 (636,372)",
7,Mongolia,3.5%,"1,564,110 (603,910)",
8,Indonesia,3.3%,"1,488,509 (574,717)",[d]
9,Pakistan,2.0%,"881,913 (340,509)",
10,Turkey,1.7%,"759,805 (293,362)",[e]
11,Myanmar,1.5%,"676,578 (261,228)",
12,Afghanistan,1.5%,"652,867 (252,073)",
13,Yemen,1.2%,"555,000 (214,000)",
14,Thailand,1.2%,"513,120 (198,120)",
15,Turkmenistan,1.1%,"488,100 (188,500)",
16,Uzbekistan,1.0%,"447,400 (172,700)",
17,Iraq,1.0%,"438,317 (169,235)",
18,Japan,0.8%,"377,976 (145,937)",
19,Vietnam,0.7%,"331,212 (127,882)",
20,Malaysia,0.7%,"330,803 (127,724)",
21,Oman,0.7%,"309,500 (119,500)",
22,Philippines,0.7%,"300,000 (120,000)",
23,Laos,0.5%,"236,800 (91,400)",
24,Kyrgyzstan,0.4%,"199,951 (77,202)",
25,Syria,0.4%,"185,180 (71,500)",[f]
26,Cambodia,0.4%,"181,035 (69,898)",
27,Bangladesh,0.3%,"148,460 (57,320)",
28,Nepal,0.3%,"147,516 (56,956)",
29,Tajikistan,0.3%,"143,100 (55,300)",
30,North Korea,0.3%,"120,540 (46,540)",
31,South Korea,0.2%,"100,210 (38,690)",
32,Jordan,0.2%,"89,342 (34,495)",
33,United Arab Emirates,0.2%,"83,600 (32,300)",
34,Azerbaijan,0.2%,"79,640 (30,750)",[g]
35,Georgia,0.2%,"69,700 (26,900)",[h]
36,Sri Lanka,0.1%,"65,610 (25,330)",
37,Egypt,0.1%,"61,000 (24,000)",[i]
38,Bhutan,0.1%,"38,394 (14,824)",
39,Taiwan,0.1%,"36,193 (13,974)",[j]
40,Armenia,0.1%,"29,743 (11,484)",[k]
41,Israel,0.05%,"22,070 (8,520)",[l]
42,Kuwait,0.04%,"17,818 (6,880)",
43,East Timor,0.03%,"14,919 (5,760)",
44,Qatar,0.03%,"11,586 (4,473)",
45,Lebanon,0.02%,"10,452 (4,036)",
46,Cyprus,0.02%,"9,251 (3,572)",[m]
47,Palestine,0.01%,"6,220 (2,400)",[n]
48,Brunei,0.01%,"5,765 (2,226)",
,Hong Kong (China),0.01%,"2,755 (1,064)",
49,Bahrain,0.002%,786 (303),
50,Singapore,0.002%,728 (281),
51,Maldives,0.001%,300 (120),[o]
,Macao (China),0.0003%,115 (44),
,Total,100%,"44,664,340 (17,245,000)",
